actual_cost,date,items,quantity,row_id,Location_row_name
1010.19,2020/4/1,17,478,06Q,NHS MID ESSEX
589.06,2020/4/1,13,308,06T,NHS NORTH EAST ESSEX
968.72,2020/4/1,16,476,07G,NHS THURROCK
2101.77,2020/4/1,27,1092,07H,NHS WEST ESSEX
563.62,2020/4/1,9,252,07K,NHS WEST SUFFOLK
446.39,2020/4/1,10,224,09D,NHS BRIGHTON AND HOVE
742.7,2020/4/1,9,364,10Q,NHS OXFORDSHIRE
378.01,2020/4/1,6,196,10R,NHS PORTSMOUTH
2836.58,2020/4/1,42,1428,11J,NHS DORSET
609.49,2020/4/1,10,280,11M,NHS GLOUCESTERSHIRE
2781.29,2020/4/1,45,1288,11N,NHS CORNWALL AND THE ISLES OF SCILLY
141.62,2020/4/1,2,56,11X,NHS SOMERSET
224.15,2020/4/1,4,112,12F,NHS WIRRAL
812.5,2020/4/1,12,392,13T,NHS NEWCASTLE GATESHEAD
1640.37,2020/4/1,26,784,14L,NHS MANCHESTER
371.46,2020/4/1,3,196,14Y,NHS BUCKINGHAMSHIRE
1270.34,2020/4/1,14,604,15A,NHS BERKSHIRE WEST
83.46,2020/4/1,3,42,15E,NHS BIRMINGHAM AND SOLIHULL
1618.71,2020/4/1,21,784,15F,NHS LEEDS
12045.37,2020/4/1,183,5607,15M,NHS DERBY AND DERBYSHIRE
1174.31,2020/4/1,14,588,15N,NHS DEVON
360.05,2020/4/1,6,168,16C,NHS TEES VALLEY
2976.35,2020/4/1,44,1372,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
1444.5,2020/4/1,22,700,26A,NHS NORFOLK AND WAVENEY
900.23,2020/4/1,14,448,27D,NHS CHESHIRE
1342.81,2020/4/1,21,644,36J,NHS BRADFORD DISTRICT AND CRAVEN
6997.65,2020/4/1,105,3445,36L,NHS SOUTH WEST LONDON
880.62,2020/4/1,15,427,42D,NHS NORTH YORKSHIRE
54.41,2020/4/1,1,28,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
1644.22,2020/4/1,23,784,70F,NHS WEST SUSSEX
3663.35,2020/4/1,59,1806,71E,NHS LINCOLNSHIRE
4085.36,2020/4/1,57,1980,72Q,NHS SOUTH EAST LONDON
309.9,2020/4/1,5,154,78H,NHS NORTHAMPTONSHIRE
979.91,2020/4/1,16,476,84H,NHS COUNTY DURHAM
20238.75,2020/4/1,319,9742,91Q,NHS KENT AND MEDWAY
7642.77,2020/4/1,113,3604,92A,NHS SURREY HEARTLANDS
674.96,2020/4/1,7,328,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
1262.51,2020/4/1,19,622,93C,NHS NORTH CENTRAL LONDON
1374.39,2020/4/1,23,679,97R,NHS EAST SUSSEX
230.66,2020/4/1,4,112,99A,NHS LIVERPOOL
311.36,2020/4/1,5,140,99C,NHS NORTH TYNESIDE
1332.92,2020/4/1,22,672,99E,NHS BASILDON AND BRENTWOOD
1325.4,2020/4/1,23,672,99F,NHS CASTLE POINT AND ROCHFORD
880.21,2020/4/1,15,448,99G,NHS SOUTHEND
3424.95,2020/4/1,48,1600,A3A8R,NHS NORTH EAST LONDON
1062.12,2020/4/1,13,504,B2M3M,NHS COVENTRY AND WARWICKSHIRE
3891.09,2020/4/1,59,1876,D2P2L,NHS BLACK COUNTRY
2203.93,2020/4/1,32,1036,D4U1Y,NHS FRIMLEY
4521.84,2020/4/1,72,2184,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
4537.54,2020/4/1,62,2090,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
309.02,2020/4/1,5,140,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
3777.29,2020/4/1,46,1792,W2U3Z,NHS NORTH WEST LONDON
1223.06,2020/4/1,29,588,X2C4Y,NHS KIRKLEES
4541.07,2020/5/1,73,2074,00L,NHS NORTHUMBERLAND
483.89,2020/5/1,8,224,00N,NHS SOUTH TYNESIDE
446.93,2020/5/1,8,224,00P,NHS SUNDERLAND
388.62,2020/5/1,6,168,00Q,NHS BLACKBURN WITH DARWEN
771.05,2020/5/1,9,396,00R,NHS BLACKPOOL
197.74,2020/5/1,5,90,00T,NHS BOLTON
420.73,2020/5/1,7,198,00V,NHS BURY
179.6,2020/5/1,3,84,00X,NHS CHORLEY AND SOUTH RIBBLE
1585.35,2020/5/1,14,747,00Y,NHS OLDHAM
3166.61,2020/5/1,52,1526,01A,NHS EAST LANCASHIRE
353.48,2020/5/1,6,168,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
982.2,2020/5/1,15,462,01E,NHS GREATER PRESTON
927.13,2020/5/1,17,441,01G,NHS SALFORD
678.23,2020/5/1,10,320,01H,NHS NORTH CUMBRIA
933.39,2020/5/1,13,420,01K,NHS MORECAMBE BAY
529.73,2020/5/1,12,231,01W,NHS STOCKPORT
233.99,2020/5/1,2,112,01X,NHS ST HELENS
165.02,2020/5/1,2,84,01Y,NHS TAMESIDE AND GLOSSOP
1182.46,2020/5/1,21,534,02A,NHS TRAFFORD
273.31,2020/5/1,4,112,02E,NHS WARRINGTON
177.26,2020/5/1,3,84,02G,NHS WEST LANCASHIRE
1290.79,2020/5/1,20,616,02H,NHS WIGAN BOROUGH
967.24,2020/5/1,17,462,02M,NHS FYLDE AND WYRE
1508.36,2020/5/1,19,742,02P,NHS BARNSLEY
131.71,2020/5/1,2,56,02Q,NHS BASSETLAW
262.63,2020/5/1,4,140,02T,NHS CALDERDALE
524.24,2020/5/1,9,252,02X,NHS DONCASTER
3028.37,2020/5/1,44,1470,02Y,NHS EAST RIDING OF YORKSHIRE
195.99,2020/5/1,2,84,03F,NHS HULL
106.46,2020/5/1,2,56,03H,NHS NORTH EAST LINCOLNSHIRE
160.87,2020/5/1,3,84,03K,NHS NORTH LINCOLNSHIRE
122.86,2020/5/1,2,56,03L,NHS ROTHERHAM
2480.75,2020/5/1,39,1192,03N,NHS SHEFFIELD
451.09,2020/5/1,8,224,03Q,NHS VALE OF YORK
1986.59,2020/5/1,34,980,03R,NHS WAKEFIELD
2827.66,2020/5/1,45,1378,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
2293.52,2020/5/1,36,1066,04C,NHS LEICESTER CITY
3649.53,2020/5/1,49,1772,04V,NHS WEST LEICESTERSHIRE
196,2020/5/1,3,84,05G,NHS NORTH STAFFORDSHIRE
283.72,2020/5/1,5,140,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
60.91,2020/5/1,1,28,05V,NHS STAFFORD AND SURROUNDS
106.46,2020/5/1,2,56,05W,NHS STOKE ON TRENT
2698.73,2020/5/1,43,1318,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
792.84,2020/5/1,13,364,06K,NHS EAST AND NORTH HERTFORDSHIRE
1427.4,2020/5/1,20,728,06L,NHS IPSWICH AND EAST SUFFOLK
287.88,2020/5/1,4,140,06N,NHS HERTS VALLEYS
949.1,2020/5/1,16,450,06Q,NHS MID ESSEX
517.64,2020/5/1,11,252,06T,NHS NORTH EAST ESSEX
1785.07,2020/5/1,25,868,07G,NHS THURROCK
1864.14,2020/5/1,24,952,07H,NHS WEST ESSEX
918.03,2020/5/1,12,448,07K,NHS WEST SUFFOLK
404.93,2020/5/1,9,196,09D,NHS BRIGHTON AND HOVE
582.78,2020/5/1,7,280,10Q,NHS OXFORDSHIRE
585.12,2020/5/1,6,280,10R,NHS PORTSMOUTH
2460.25,2020/5/1,35,1204,11J,NHS DORSET
432.18,2020/5/1,6,182,11M,NHS GLOUCESTERSHIRE
2680.93,2020/5/1,44,1232,11N,NHS CORNWALL AND THE ISLES OF SCILLY
70.8,2020/5/1,1,28,11X,NHS SOMERSET
276.17,2020/5/1,5,140,12F,NHS WIRRAL
796.25,2020/5/1,13,364,13T,NHS NEWCASTLE GATESHEAD
1694.61,2020/5/1,28,814,14L,NHS MANCHESTER
250.39,2020/5/1,3,112,14Y,NHS BUCKINGHAMSHIRE
879.11,2020/5/1,11,428,15A,NHS BERKSHIRE WEST
182.72,2020/5/1,2,84,15E,NHS BIRMINGHAM AND SOLIHULL
1114.81,2020/5/1,14,504,15F,NHS LEEDS
11093.23,2020/5/1,175,5103,15M,NHS DERBY AND DERBYSHIRE
789.98,2020/5/1,11,364,15N,NHS DEVON
688.22,2020/5/1,12,336,16C,NHS TEES VALLEY
2418.89,2020/5/1,39,1148,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
1570,2020/5/1,22,728,26A,NHS NORFOLK AND WAVENEY
497.94,2020/5/1,8,252,27D,NHS CHESHIRE
1663.26,2020/5/1,24,784,36J,NHS BRADFORD DISTRICT AND CRAVEN
6045.27,2020/5/1,95,2948,36L,NHS SOUTH WEST LONDON
988.6,2020/5/1,17,476,42D,NHS NORTH YORKSHIRE
141.95,2020/5/1,4,70,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
1043.49,2020/5/1,14,476,70F,NHS WEST SUSSEX
4284.64,2020/5/1,66,2086,71E,NHS LINCOLNSHIRE
3135.55,2020/5/1,51,1484,72Q,NHS SOUTH EAST LONDON
283.72,2020/5/1,5,140,78H,NHS NORTHAMPTONSHIRE
755.64,2020/5/1,13,364,84H,NHS COUNTY DURHAM
20371.4,2020/5/1,324,9803,91Q,NHS KENT AND MEDWAY
7019.1,2020/5/1,111,3400,92A,NHS SURREY HEARTLANDS
759.4,2020/5/1,8,342,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
1426.91,2020/5/1,20,672,93C,NHS NORTH CENTRAL LONDON
1454.39,2020/5/1,23,672,97R,NHS EAST SUSSEX
253.04,2020/5/1,5,124,99A,NHS LIVERPOOL
426.62,2020/5/1,7,196,99C,NHS NORTH TYNESIDE
1117.44,2020/5/1,19,560,99E,NHS BASILDON AND BRENTWOOD
883.98,2020/5/1,13,441,99F,NHS CASTLE POINT AND ROCHFORD
903.25,2020/5/1,14,450,99G,NHS SOUTHEND
3037.12,2020/5/1,48,1428,A3A8R,NHS NORTH EAST LONDON
538.78,2020/5/1,6,280,B2M3M,NHS COVENTRY AND WARWICKSHIRE
4113.64,2020/5/1,63,1992,D2P2L,NHS BLACK COUNTRY
1853.3,2020/5/1,28,868,D4U1Y,NHS FRIMLEY
4430.64,2020/5/1,72,2144,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
3836.09,2020/5/1,53,1748,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
256.91,2020/5/1,4,112,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
3847.07,2020/5/1,50,1820,W2U3Z,NHS NORTH WEST LONDON
1028.25,2020/5/1,22,504,X2C4Y,NHS KIRKLEES
4431.19,2020/6/1,78,2018,00L,NHS NORTHUMBERLAND
684.22,2020/6/1,11,336,00N,NHS SOUTH TYNESIDE
578.36,2020/6/1,10,280,00P,NHS SUNDERLAND
712.18,2020/6/1,12,322,00Q,NHS BLACKBURN WITH DARWEN
573.63,2020/6/1,7,280,00R,NHS BLACKPOOL
125.14,2020/6/1,2,56,00T,NHS BOLTON
518.26,2020/6/1,9,252,00V,NHS BURY
255.85,2020/6/1,7,112,00X,NHS CHORLEY AND SOUTH RIBBLE
1430.28,2020/6/1,12,644,00Y,NHS OLDHAM
3186.21,2020/6/1,51,1512,01A,NHS EAST LANCASHIRE
296.59,2020/6/1,5,140,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
925.49,2020/6/1,16,420,01E,NHS GREATER PRESTON
785.27,2020/6/1,15,378,01G,NHS SALFORD
179.52,2020/6/1,3,84,01H,NHS NORTH CUMBRIA
185.45,2020/6/1,4,87,01J,NHS KNOWSLEY
946.17,2020/6/1,14,420,01K,NHS MORECAMBE BAY
863.75,2020/6/1,18,399,01W,NHS STOCKPORT
424.11,2020/6/1,5,202,01X,NHS ST HELENS
253.4,2020/6/1,4,112,01Y,NHS TAMESIDE AND GLOSSOP
1449.98,2020/6/1,26,630,02A,NHS TRAFFORD
394.89,2020/6/1,4,168,02E,NHS WARRINGTON
283.58,2020/6/1,5,140,02G,NHS WEST LANCASHIRE
1431.64,2020/6/1,22,672,02H,NHS WIGAN BOROUGH
860.38,2020/6/1,14,392,02M,NHS FYLDE AND WYRE
1319.21,2020/6/1,19,652,02P,NHS BARNSLEY
192.52,2020/6/1,3,84,02Q,NHS BASSETLAW
690.69,2020/6/1,7,336,02T,NHS CALDERDALE
476.1,2020/6/1,8,224,02X,NHS DONCASTER
2482.14,2020/6/1,40,1190,02Y,NHS EAST RIDING OF YORKSHIRE
169.64,2020/6/1,3,84,03F,NHS HULL
106.41,2020/6/1,2,56,03H,NHS NORTH EAST LINCOLNSHIRE
278.87,2020/6/1,3,140,03L,NHS ROTHERHAM
2597.89,2020/6/1,40,1232,03N,NHS SHEFFIELD
334.58,2020/6/1,6,168,03Q,NHS VALE OF YORK
1720.74,2020/6/1,29,840,03R,NHS WAKEFIELD
3376.03,2020/6/1,50,1612,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
3053.96,2020/6/1,50,1429,04C,NHS LEICESTER CITY
3373.1,2020/6/1,49,1650,04V,NHS WEST LEICESTERSHIRE
106.41,2020/6/1,2,56,05G,NHS NORTH STAFFORDSHIRE
233.89,2020/6/1,4,112,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
373.04,2020/6/1,3,196,05V,NHS STAFFORD AND SURROUNDS
106.41,2020/6/1,2,56,05W,NHS STOKE ON TRENT
2599.39,2020/6/1,42,1276,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
1242.32,2020/6/1,22,566,06K,NHS EAST AND NORTH HERTFORDSHIRE
1402.2,2020/6/1,18,728,06L,NHS IPSWICH AND EAST SUFFOLK
112.91,2020/6/1,2,56,06N,NHS HERTS VALLEYS
793.56,2020/6/1,14,394,06Q,NHS MID ESSEX
686.59,2020/6/1,14,343,06T,NHS NORTH EAST ESSEX
1327.85,2020/6/1,20,644,07G,NHS THURROCK
2096.1,2020/6/1,27,1078,07H,NHS WEST ESSEX
863.17,2020/6/1,13,392,07K,NHS WEST SUFFOLK
505.06,2020/6/1,12,245,09D,NHS BRIGHTON AND HOVE
511.72,2020/6/1,7,252,10Q,NHS OXFORDSHIRE
586.36,2020/6/1,6,308,10R,NHS PORTSMOUTH
2838.58,2020/6/1,41,1372,11J,NHS DORSET
1504.68,2020/6/1,20,707,11M,NHS GLOUCESTERSHIRE
2915.01,2020/6/1,47,1321,11N,NHS CORNWALL AND THE ISLES OF SCILLY
70.76,2020/6/1,1,28,11X,NHS SOMERSET
224.01,2020/6/1,4,112,12F,NHS WIRRAL
843.71,2020/6/1,13,392,13T,NHS NEWCASTLE GATESHEAD
1788.11,2020/6/1,29,840,14L,NHS MANCHESTER
425.6,2020/6/1,4,224,14Y,NHS BUCKINGHAMSHIRE
1379.68,2020/6/1,19,652,15A,NHS BERKSHIRE WEST
317.64,2020/6/1,4,140,15E,NHS BIRMINGHAM AND SOLIHULL
994.31,2020/6/1,13,476,15F,NHS LEEDS
12683.53,2020/6/1,202,5899,15M,NHS DERBY AND DERBYSHIRE
1132.21,2020/6/1,18,560,15N,NHS DEVON
574.95,2020/6/1,10,280,16C,NHS TEES VALLEY
3184.24,2020/6/1,47,1492,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
1228.78,2020/6/1,19,574,26A,NHS NORFOLK AND WAVENEY
765.27,2020/6/1,13,378,27D,NHS CHESHIRE
921.51,2020/6/1,15,448,36J,NHS BRADFORD DISTRICT AND CRAVEN
6993.76,2020/6/1,113,3415,36L,NHS SOUTH WEST LONDON
762.3,2020/6/1,12,364,42D,NHS NORTH YORKSHIRE
463.07,2020/6/1,6,224,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
1296.88,2020/6/1,18,616,70F,NHS WEST SUSSEX
4413.67,2020/6/1,73,2152,71E,NHS LINCOLNSHIRE
4268.69,2020/6/1,63,2044,72Q,NHS SOUTH EAST LONDON
416.11,2020/6/1,7,210,78H,NHS NORTHAMPTONSHIRE
977.96,2020/6/1,16,476,84H,NHS COUNTY DURHAM
21607.17,2020/6/1,354,10355,91Q,NHS KENT AND MEDWAY
8521.55,2020/6/1,133,4063,92A,NHS SURREY HEARTLANDS
1643.8,2020/6/1,14,838,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
1373.18,2020/6/1,23,686,93C,NHS NORTH CENTRAL LONDON
1840.99,2020/6/1,31,903,97R,NHS EAST SUSSEX
476.51,2020/6/1,13,238,99A,NHS LIVERPOOL
497.17,2020/6/1,7,224,99C,NHS NORTH TYNESIDE
1331.52,2020/6/1,22,672,99E,NHS BASILDON AND BRENTWOOD
675.38,2020/6/1,12,336,99F,NHS CASTLE POINT AND ROCHFORD
934,2020/6/1,16,476,99G,NHS SOUTHEND
3064.41,2020/6/1,45,1456,A3A8R,NHS NORTH EAST LONDON
754.97,2020/6/1,11,364,B2M3M,NHS COVENTRY AND WARWICKSHIRE
4315.59,2020/6/1,73,2076,D2P2L,NHS BLACK COUNTRY
1802.92,2020/6/1,30,854,D4U1Y,NHS FRIMLEY
4657.45,2020/6/1,72,2186,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
5411.74,2020/6/1,77,2458,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
54.38,2020/6/1,1,28,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
4867.61,2020/6/1,56,2296,W2U3Z,NHS NORTH WEST LONDON
864.62,2020/6/1,20,420,X2C4Y,NHS KIRKLEES
5343.45,2020/7/1,91,2424,00L,NHS NORTHUMBERLAND
471.89,2020/7/1,7,224,00N,NHS SOUTH TYNESIDE
682.36,2020/7/1,12,336,00P,NHS SUNDERLAND
666.75,2020/7/1,11,308,00Q,NHS BLACKBURN WITH DARWEN
554.85,2020/7/1,6,280,00R,NHS BLACKPOOL
125.13,2020/7/1,2,56,00T,NHS BOLTON
671.69,2020/7/1,11,308,00V,NHS BURY
177.16,2020/7/1,3,84,00X,NHS CHORLEY AND SOUTH RIBBLE
1506.12,2020/7/1,12,692,00Y,NHS OLDHAM
2974.91,2020/7/1,48,1428,01A,NHS EAST LANCASHIRE
254.13,2020/7/1,4,116,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
916.19,2020/7/1,17,406,01E,NHS GREATER PRESTON
1107.19,2020/7/1,24,518,01G,NHS SALFORD
613.34,2020/7/1,7,308,01H,NHS NORTH CUMBRIA
125.13,2020/7/1,2,56,01J,NHS KNOWSLEY
1164.81,2020/7/1,18,516,01K,NHS MORECAMBE BAY
662.13,2020/7/1,12,301,01W,NHS STOCKPORT
1032.95,2020/7/1,12,515,01X,NHS ST HELENS
192.5,2020/7/1,3,84,01Y,NHS TAMESIDE AND GLOSSOP
1418.63,2020/7/1,24,640,02A,NHS TRAFFORD
183.66,2020/7/1,3,84,02E,NHS WARRINGTON
283.56,2020/7/1,5,140,02G,NHS WEST LANCASHIRE
1563.19,2020/7/1,24,728,02H,NHS WIGAN BOROUGH
1019.22,2020/7/1,16,504,02M,NHS FYLDE AND WYRE
1247.07,2020/7/1,19,598,02P,NHS BARNSLEY
263.26,2020/7/1,4,112,02Q,NHS BASSETLAW
264.85,2020/7/1,6,126,02T,NHS CALDERDALE
918.04,2020/7/1,16,448,02X,NHS DONCASTER
3687.56,2020/7/1,54,1778,02Y,NHS EAST RIDING OF YORKSHIRE
246.88,2020/7/1,4,112,03F,NHS HULL
54.37,2020/7/1,1,28,03H,NHS NORTH EAST LINCOLNSHIRE
182.59,2020/7/1,3,84,03K,NHS NORTH LINCOLNSHIRE
70.76,2020/7/1,1,28,03L,NHS ROTHERHAM
2645.02,2020/7/1,42,1244,03N,NHS SHEFFIELD
522.89,2020/7/1,9,252,03Q,NHS VALE OF YORK
1917.51,2020/7/1,32,952,03R,NHS WAKEFIELD
3538.41,2020/7/1,53,1700,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
3344.65,2020/7/1,44,1574,04C,NHS LEICESTER CITY
4267.56,2020/7/1,61,2065,04V,NHS WEST LEICESTERSHIRE
55.85,2020/7/1,1,30,05D,NHS EAST STAFFORDSHIRE
108.73,2020/7/1,2,56,05G,NHS NORTH STAFFORDSHIRE
344.43,2020/7/1,6,168,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
396.19,2020/7/1,4,168,05V,NHS STAFFORD AND SURROUNDS
106.4,2020/7/1,2,56,05W,NHS STOKE ON TRENT
2372.32,2020/7/1,38,1152,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
1151.51,2020/7/1,19,533,06K,NHS EAST AND NORTH HERTFORDSHIRE
1851.54,2020/7/1,23,952,06L,NHS IPSWICH AND EAST SUFFOLK
347.55,2020/7/1,5,168,06N,NHS HERTS VALLEYS
932.94,2020/7/1,16,450,06Q,NHS MID ESSEX
458.66,2020/7/1,12,231,06T,NHS NORTH EAST ESSEX
1024.69,2020/7/1,17,504,07G,NHS THURROCK
2626.47,2020/7/1,34,1344,07H,NHS WEST ESSEX
1044.96,2020/7/1,16,504,07K,NHS WEST SUFFOLK
243.91,2020/7/1,8,119,09D,NHS BRIGHTON AND HOVE
572.56,2020/7/1,8,280,10Q,NHS OXFORDSHIRE
104.05,2020/7/1,1,56,10R,NHS PORTSMOUTH
3156.71,2020/7/1,43,1512,11J,NHS DORSET
835.75,2020/7/1,11,392,11M,NHS GLOUCESTERSHIRE
3095.56,2020/7/1,52,1442,11N,NHS CORNWALL AND THE ISLES OF SCILLY
70.76,2020/7/1,1,28,11X,NHS SOMERSET
391.25,2020/7/1,7,196,12F,NHS WIRRAL
677.41,2020/7/1,11,308,13T,NHS NEWCASTLE GATESHEAD
1625.36,2020/7/1,27,784,14L,NHS MANCHESTER
474.21,2020/7/1,6,224,14Y,NHS BUCKINGHAMSHIRE
1532.26,2020/7/1,19,708,15A,NHS BERKSHIRE WEST
243.6,2020/7/1,4,115,15E,NHS BIRMINGHAM AND SOLIHULL
1676.87,2020/7/1,20,798,15F,NHS LEEDS
13940.73,2020/7/1,215,6459,15M,NHS DERBY AND DERBYSHIRE
1416.9,2020/7/1,17,672,15N,NHS DEVON
1037.42,2020/7/1,17,504,16C,NHS TEES VALLEY
3364,2020/7/1,48,1596,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
1458.2,2020/7/1,22,672,26A,NHS NORFOLK AND WAVENEY
815.28,2020/7/1,13,392,27D,NHS CHESHIRE
1850.6,2020/7/1,27,868,36J,NHS BRADFORD DISTRICT AND CRAVEN
7923.05,2020/7/1,122,3921,36L,NHS SOUTH WEST LONDON
931.81,2020/7/1,15,448,42D,NHS NORTH YORKSHIRE
184.55,2020/7/1,4,98,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
1776.45,2020/7/1,25,840,70F,NHS WEST SUSSEX
5337.06,2020/7/1,88,2622,71E,NHS LINCOLNSHIRE
4374.69,2020/7/1,66,2044,72Q,NHS SOUTH EAST LONDON
307.33,2020/7/1,5,154,78H,NHS NORTHAMPTONSHIRE
1207.04,2020/7/1,20,588,84H,NHS COUNTY DURHAM
21290.48,2020/7/1,353,10211,91Q,NHS KENT AND MEDWAY
10304.95,2020/7/1,156,4871,92A,NHS SURREY HEARTLANDS
1078.6,2020/7/1,12,496,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
1894.38,2020/7/1,26,931,93C,NHS NORTH CENTRAL LONDON
1764.09,2020/7/1,29,847,97R,NHS EAST SUSSEX
230.48,2020/7/1,4,112,99A,NHS LIVERPOOL
525.23,2020/7/1,9,252,99C,NHS NORTH TYNESIDE
1619.63,2020/7/1,27,840,99E,NHS BASILDON AND BRENTWOOD
1005.68,2020/7/1,14,504,99F,NHS CASTLE POINT AND ROCHFORD
1042.63,2020/7/1,17,532,99G,NHS SOUTHEND
3881.56,2020/7/1,56,1838,A3A8R,NHS NORTH EAST LONDON
1032.75,2020/7/1,16,504,B2M3M,NHS COVENTRY AND WARWICKSHIRE
4384.53,2020/7/1,72,2114,D2P2L,NHS BLACK COUNTRY
2381.98,2020/7/1,35,1120,D4U1Y,NHS FRIMLEY
